step,cap_deg,ix_j0,ix_j1,ix_j2,ix_j3,th_j0,th_j1,th_j2,th_j3,mi_j0,mi_j1,mi_j2,mi_j3,ri_j0,ri_j1,ri_j2,ri_j3
314,175.26,-0.219968,1.61,-0.174,-0.227,1.396,0.583367,0.465663,-0.162,0.215639,1.495347,-0.052035,0.388811,0.346715,1.61,-0.049413,0.02202
315,175.46,-0.221206,1.61,-0.174,-0.227,1.396,0.588051,0.463739,-0.162,0.214502,1.491644,-0.049744,0.382436,0.345408,1.61,-0.051103,0.006255
316,176.0,-0.220542,1.61,-0.174,-0.227,1.396,0.578846,0.460973,-0.162,0.215182,1.492095,-0.050502,0.372317,0.346528,1.61,-0.048701,0.004379
317,176.64,-0.21875,1.61,-0.174,-0.227,1.396,0.569997,0.45883,-0.162,0.21676,1.494685,-0.050492,0.373775,0.347714,1.61,-0.043334,-0.005324
318,177.15,-0.217387,1.61,-0.174,-0.227,1.396,0.572251,0.456923,-0.162,0.217846,1.495944,-0.048401,0.361344,0.348424,1.61,-0.038474,-0.017337
319,177.2,-0.214813,1.61,-0.174,-0.227,1.396,0.569185,0.451885,-0.162,0.220117,1.499081,-0.046725,0.362803,0.350326,1.61,-0.031746,-0.015461
320,177.16,-0.211261,1.61,-0.174,-0.227,1.396,0.580009,0.449971,-0.162,0.223487,1.499057,-0.041698,0.371125,0.353397,1.61,-0.027815,0.000304
321,177.07,-0.20981,1.61,-0.174,-0.227,1.396,0.587437,0.442923,-0.162,0.224481,1.504732,-0.043937,0.365559,0.354287,1.61,-0.021814,0.00218
322,177.05,-0.209126,1.61,-0.174,-0.227,1.396,0.592458,0.440898,-0.162,0.225048,1.506016,-0.043708,0.354291,0.354249,1.61,-0.021635,-0.009833
323,177.09,-0.207301,1.61,-0.174,-0.227,1.396,0.58359,0.438719,-0.162,0.226792,1.505803,-0.040041,0.356911,0.356052,1.61,-0.014634,-0.007957
324,177.17,-0.2052,1.61,-0.174,-0.227,1.396,0.578196,0.435498,-0.162,0.228753,1.506035,-0.036521,0.358034,0.35807,1.61,-0.00404,0.005483
325,177.32,-0.202449,1.61,-0.174,-0.227,1.396,0.58669,0.42786,-0.162,0.230895,1.512241,-0.03743,0.345268,0.359529,1.61,0.006908,0.005034
326,177.33,-0.203077,1.61,-0.174,-0.227,1.396,0.596046,0.425806,-0.162,0.230248,1.511255,-0.034547,0.34639,0.358295,1.61,-0.000316,-0.009303
327,177.38,-0.20255,1.61,-0.174,-0.227,1.396,0.591513,0.422664,-0.162,0.230616,1.512104,-0.03274,0.361402,0.358581,1.61,0.002734,-0.0249
328,177.42,-0.201244,1.61,-0.174,-0.227,1.396,0.588014,0.420454,-0.162,0.231775,1.513976,-0.033805,0.362525,0.359607,1.61,0.011043,-0.030113
329,177.47,-0.200121,1.61,-0.174,-0.227,1.396,0.594349,0.41689,-0.162,0.232528,1.518506,-0.03628,0.349759,0.360156,1.61,0.023165,-0.043431
330,177.52,-0.200125,1.61,-0.174,-0.227,1.396,0.591622,0.418356,-0.162,0.232646,1.514884,-0.030315,0.350882,0.360285,1.61,0.026659,-0.042861
331,177.61,-0.199039,1.61,-0.174,-0.227,1.396,0.588398,0.412339,-0.162,0.233163,1.518999,-0.029031,0.340929,0.360578,1.61,0.042569,-0.047874
332,177.66,-0.201359,1.61,-0.174,-0.227,1.396,0.596067,0.409178,-0.162,0.230692,1.519768,-0.027574,0.344866,0.357941,1.61,0.04093,-0.038999
333,177.74,-0.200467,1.61,-0.174,-0.227,1.396,0.603159,0.404453,-0.162,0.231079,1.522607,-0.024576,0.33954,0.357897,1.61,0.047519,-0.044013
334,177.7,-0.200432,1.61,-0.174,-0.227,1.396,0.608011,0.405242,-0.162,0.231141,1.521674,-0.022148,0.348104,0.357745,1.61,0.047611,-0.039077
335,177.5,-0.202342,1.61,-0.174,-0.227,1.396,0.608034,0.402067,-0.162,0.228913,1.524359,-0.023462,0.342778,0.355486,1.61,0.046079,-0.048031
336,177.28,-0.204199,1.61,-0.174,-0.227,1.396,0.607915,0.401951,-0.162,0.227049,1.525777,-0.026251,0.351341,0.353412,1.61,0.039099,-0.059501
337,177.2,-0.20515,1.61,-0.174,-0.227,1.396,0.601723,0.405645,-0.162,0.226294,1.523551,-0.026065,0.358637,0.352699,1.61,0.035357,-0.068226
338,177.25,-0.206184,1.61,-0.174,-0.227,1.396,0.592423,0.402036,-0.162,0.225039,1.525791,-0.028455,0.352043,0.351577,1.61,0.040109,-0.08849
339,177.34,-0.205579,1.61,-0.174,-0.227,1.396,0.59683,0.402512,-0.162,0.225808,1.525198,-0.029303,0.349055,0.352323,1.61,0.048584,-0.094866
340,177.26,-0.203859,1.61,-0.174,-0.227,1.396,0.597504,0.396327,-0.162,0.227081,1.529265,-0.029535,0.335037,0.353482,1.61,0.067304,-0.094719
341,177.19,-0.20148,1.61,-0.174,-0.227,1.396,0.601384,0.396319,-0.162,0.229591,1.528535,-0.027757,0.334907,0.355735,1.61,0.082858,-0.080684
342,177.03,-0.201101,1.61,-0.174,-0.227,1.396,0.60255,0.391447,-0.162,0.229521,1.531066,-0.024785,0.333618,0.3555,1.61,0.095632,-0.080537
343,176.82,-0.200385,1.61,-0.174,-0.227,1.396,0.613884,0.390803,-0.162,0.230164,1.530662,-0.021552,0.33586,0.355846,1.61,0.100398,-0.090436
344,176.47,-0.201651,1.61,-0.174,-0.227,1.396,0.614037,0.390312,-0.162,0.228742,1.531386,-0.02074,0.327343,0.354395,1.61,0.101951,-0.101432
345,176.13,-0.203289,1.61,-0.174,-0.227,1.396,0.609791,0.391665,-0.162,0.227142,1.529492,-0.017354,0.332715,0.352686,1.61,0.10011,-0.098539
346,175.68,-0.205373,1.61,-0.174,-0.227,1.396,0.607316,0.387641,-0.162,0.224518,1.532571,-0.015629,0.324199,0.349818,1.61,0.098842,-0.109534
347,175.54,-0.203394,1.61,-0.174,-0.227,1.396,0.607379,0.391477,-0.162,0.226574,1.530023,-0.009771,0.329571,0.351875,1.61,0.106095,-0.112977
348,175.46,-0.202444,1.61,-0.174,-0.227,1.396,0.601621,0.386664,-0.162,0.227253,1.531006,-0.007215,0.321267,0.352447,1.61,0.119302,-0.120599
349,175.41,-0.201288,1.61,-0.174,-0.227,1.396,0.606514,0.386562,-0.162,0.228451,1.529865,-0.004238,0.326851,0.353437,1.61,0.130383,-0.119581
350,175.17,-0.201487,1.61,-0.174,-0.227,1.396,0.608232,0.381259,-0.162,0.227732,1.533884,-0.003847,0.318547,0.352511,1.61,0.142784,-0.132452
351,175.04,-0.20218,1.61,-0.174,-0.227,1.396,0.61369,0.385715,-0.162,0.227011,1.53437,-0.003032,0.324132,0.351544,1.61,0.147634,-0.131434
352,174.95,-0.202526,1.61,-0.174,-0.227,1.396,0.609778,0.387358,-0.162,0.226684,1.532646,-6.1e-05,0.326515,0.351219,1.61,0.151398,-0.138069
353,174.92,-0.201356,1.61,-0.174,-0.227,1.396,0.611109,0.38963,-0.162,0.228181,1.528558,0.003508,0.328665,0.352816,1.61,0.160823,-0.130815
354,174.88,-0.200224,1.61,-0.174,-0.227,1.396,0.612145,0.385948,-0.162,0.228986,1.52904,0.007396,0.316925,0.353532,1.61,0.179011,-0.137451
355,174.89,-0.197766,1.61,-0.174,-0.227,1.396,0.610152,0.385259,-0.162,0.231471,1.529145,0.008738,0.319074,0.35566,1.607582,0.193318,-0.137075
356,174.9,-0.197449,1.61,-0.174,-0.227,1.396,0.611837,0.386497,-0.162,0.231871,1.523587,0.018377,0.310022,0.356045,1.599478,0.207749,-0.145955
357,174.9,-0.196219,1.61,-0.174,-0.227,1.396,0.604182,0.386747,-0.162,0.233133,1.519857,0.026421,0.314858,0.3573,1.591373,0.224987,-0.14343
358,174.88,-0.193955,1.61,-0.174,-0.227,1.396,0.603901,0.383493,-0.162,0.235219,1.520463,0.028779,0.305805,0.359479,1.588742,0.237552,-0.154794
