step,cap_deg,ix_j0,ix_j1,ix_j2,ix_j3,th_j0,th_j1,th_j2,th_j3,mi_j0,mi_j1,mi_j2,mi_j3,ri_j0,ri_j1,ri_j2,ri_j3
55,80.54,-0.230501,1.61,-0.174,-0.227,1.396,0.634076,0.646902,-0.162,0.214932,1.430459,-0.086886,0.485847,0.351948,1.415237,0.153511,-0.00252
56,80.7,-0.228943,1.61,-0.174,-0.227,1.3938,0.630267,0.615012,-0.162,0.213051,1.445512,-0.085533,0.500703,0.347859,1.42622,0.195741,-0.010788
57,81.05,-0.228054,1.61,-0.174,-0.227,1.368346,0.640347,0.596448,-0.162,0.212693,1.458831,-0.070291,0.516781,0.347554,1.433851,0.208294,-0.005167
58,81.35,-0.228129,1.61,-0.174,-0.227,1.33469,0.664316,0.586635,-0.162,0.211406,1.474321,-0.063216,0.51897,0.34444,1.44198,0.222768,0.014342
59,81.95,-0.227673,1.61,-0.174,-0.227,1.315257,0.674396,0.585985,-0.162,0.21107,1.492263,-0.079662,0.50727,0.344846,1.448876,0.231592,0.04774
60,82.69,-0.237764,1.61,-0.174,-0.227,1.332749,0.698365,0.59746,-0.162,0.201373,1.479203,-0.075204,0.509459,0.335319,1.451843,0.196019,0.082623
61,83.01,-0.229733,1.61,-0.174,-0.227,1.351462,0.708445,0.602242,-0.162,0.210559,1.480152,-0.087154,0.497759,0.344729,1.466841,0.160851,0.103616
62,87.87,-0.251413,1.61,-0.174,-0.227,1.385045,0.704636,0.614479,-0.162,0.19076,1.459388,-0.084284,0.499948,0.32842,1.476375,0.102708,0.110721
63,90.46,-0.249795,1.61,-0.174,-0.227,1.396,0.714716,0.618055,-0.162,0.192972,1.443514,-0.076457,0.488248,0.331206,1.468768,0.078109,0.103936
64,94.7,-0.252537,1.600308,-0.174,-0.227,1.396,0.710907,0.618129,-0.162,0.195569,1.432776,-0.096985,0.490437,0.337452,1.470344,0.037787,0.083263
65,95.42,-0.2625,1.596374,-0.174,-0.227,1.396,0.69321,0.616609,-0.162,0.184344,1.416251,-0.078023,0.503681,0.325911,1.467993,0.017165,0.048701
66,95.49,-0.259492,1.599858,-0.174,-0.227,1.396,0.661623,0.592844,-0.162,0.186208,1.427727,-0.069678,0.503036,0.326848,1.457368,0.022849,0.003233
67,95.57,-0.249152,1.61,-0.174,-0.227,1.396,0.643925,0.587974,-0.162,0.19598,1.436768,-0.066674,0.507646,0.334277,1.460632,0.058035,-0.028345
68,95.88,-0.243241,1.61,-0.174,-0.227,1.396,0.640116,0.577997,-0.162,0.200942,1.444993,-0.0661,0.498366,0.338446,1.477784,0.084089,-0.046035
69,96.25,-0.241241,1.61,-0.174,-0.227,1.396,0.650196,0.546634,-0.162,0.202635,1.4592,-0.063572,0.502976,0.33905,1.487919,0.11759,-0.049835
70,97.04,-0.239409,1.61,-0.174,-0.227,1.396,0.674166,0.539712,-0.162,0.201738,1.471319,-0.066101,0.493696,0.336156,1.492668,0.135195,-0.039747
71,97.72,-0.241346,1.61,-0.174,-0.227,1.396,0.70722,0.536503,-0.162,0.199898,1.473484,-0.055491,0.488013,0.333778,1.494291,0.147968,-0.01577
72,98.53,-0.241299,1.61,-0.174,-0.227,1.396,0.726385,0.529864,-0.162,0.198473,1.479302,-0.056843,0.485442,0.331767,1.499753,0.142789,0.022096
73,98.46,-0.251255,1.61,-0.174,-0.227,1.396,0.731662,0.524826,-0.162,0.187824,1.477082,-0.054705,0.496761,0.320914,1.50923,0.1106,0.049926
74,100.37,-0.274592,1.61,-0.174,-0.227,1.396,0.750828,0.532545,-0.162,0.164175,1.471246,-0.060288,0.49419,0.302034,1.5284,0.033436,0.063867
75,107.11,-0.279248,1.61,-0.174,-0.227,1.396,0.765478,0.567689,-0.162,0.162643,1.452584,-0.065164,0.505508,0.300076,1.542763,-0.017332,0.063919
76,114.04,-0.306824,1.61,-0.174,-0.227,1.396,0.774332,0.603353,-0.162,0.132822,1.429034,-0.076458,0.502937,0.273486,1.538762,-0.055538,0.050082
77,115.64,-0.321213,1.61,-0.174,-0.227,1.396,0.769296,0.639059,-0.162,0.119345,1.418098,-0.090828,0.486478,0.265959,1.52227,-0.066866,0.022356
78,118.54,-0.334935,1.61,-0.174,-0.227,1.396,0.750372,0.670566,-0.162,0.107062,1.400344,-0.093905,0.483907,0.256256,1.507558,-0.066658,-0.016609
79,119.7,-0.33887,1.61,-0.174,-0.227,1.396,0.717559,0.677078,-0.162,0.103143,1.394911,-0.110871,0.495225,0.254175,1.498706,-0.052693,-0.053367
80,119.9,-0.329448,1.61,-0.174,-0.227,1.396,0.698635,0.672374,-0.162,0.113592,1.398083,-0.141726,0.520432,0.263929,1.494095,-0.027436,-0.076236
81,119.76,-0.302577,1.61,-0.174,-0.227,1.396,0.690553,0.681474,-0.162,0.132655,1.403695,-0.158692,0.531751,0.294789,1.500524,-0.008669,-0.093521
82,120.3,-0.285104,1.61,-0.174,-0.227,1.396,0.668583,0.66443,-0.162,0.148849,1.410141,-0.161769,0.52918,0.304325,1.507113,0.014898,-0.119091
83,121.34,-0.283598,1.61,-0.174,-0.227,1.396,0.660501,0.650392,-0.162,0.161255,1.419584,-0.163052,0.520807,0.306442,1.505187,0.032934,-0.130772
84,121.75,-0.285727,1.61,-0.174,-0.227,1.394299,0.666308,0.646481,-0.162,0.158745,1.423698,-0.150446,0.510791,0.304336,1.504355,0.048377,-0.128564
85,122.52,-0.283604,1.61,-0.174,-0.227,1.37921,0.686005,0.641502,-0.162,0.159614,1.433699,-0.123951,0.505758,0.30473,1.505345,0.064208,-0.112468
86,123.42,-0.284274,1.61,-0.174,-0.227,1.385213,0.691812,0.630975,-0.162,0.15867,1.438038,-0.107555,0.489672,0.302987,1.50845,0.067604,-0.082482
87,123.68,-0.292213,1.61,-0.174,-0.227,1.396,0.68457,0.62012,-0.162,0.149653,1.43995,-0.089092,0.487474,0.293894,1.515459,0.048933,-0.044164
88,122.69,-0.310489,1.61,-0.174,-0.227,1.396,0.691218,0.615991,-0.162,0.129117,1.437732,-0.069052,0.499165,0.273156,1.52949,0.010266,-0.010733
89,122.21,-0.320272,1.61,-0.174,-0.227,1.396,0.704652,0.628772,-0.162,0.12039,1.434707,-0.095517,0.524746,0.268245,1.535998,-0.047455,0.008808
90,122.91,-0.337517,1.61,-0.174,-0.227,1.396,0.704197,0.631128,-0.162,0.10366,1.413899,-0.090943,0.536437,0.256122,1.535838,-0.092435,0.014461
