step,cap_deg,raw_th_c_d,raw_th_c_p,raw_th_ny_d,raw_th_ny_p,raw_th_py_d,raw_th_py_p,raw_ix_c_d,raw_ix_c_p,raw_ix_ny_d,raw_ix_ny_p,raw_ix_py_d,raw_ix_py_p,raw_mi_c_d,raw_mi_c_p,raw_mi_ny_d,raw_mi_ny_p,raw_mi_py_d,raw_mi_py_p,raw_ri_c_d,raw_ri_c_p,raw_ri_ny_d,raw_ri_ny_p,raw_ri_py_d,raw_ri_py_p,filt_th_c_d,filt_th_c_p,filt_th_ny_d,filt_th_ny_p,filt_th_py_d,filt_th_py_p,filt_ix_c_d,filt_ix_c_p,filt_ix_ny_d,filt_ix_ny_p,filt_ix_py_d,filt_ix_py_p,filt_mi_c_d,filt_mi_c_p,filt_mi_ny_d,filt_mi_ny_p,filt_mi_py_d,filt_mi_py_p,filt_ri_c_d,filt_ri_c_p,filt_ri_ny_d,filt_ri_ny_p,filt_ri_py_d,filt_ri_py_p,lvl_th_c_d,lvl_th_c_p,lvl_th_ny_d,lvl_th_ny_p,lvl_th_py_d,lvl_th_py_p,lvl_ix_c_d,lvl_ix_c_p,lvl_ix_ny_d,lvl_ix_ny_p,lvl_ix_py_d,lvl_ix_py_p,lvl_mi_c_d,lvl_mi_c_p,lvl_mi_ny_d,lvl_mi_ny_p,lvl_mi_py_d,lvl_mi_py_p,lvl_ri_c_d,lvl_ri_c_p,lvl_ri_ny_d,lvl_ri_ny_p,lvl_ri_py_d,lvl_ri_py_p,tot_th,tot_ix,tot_mi,tot_ri
19,9.077,0.00381,0.03041,0.37973,0.34273,0.35289,0.35843,5.96501,0.08009,0.00000,0.02072,0.00000,0.00000,0.00000,0.00199,0.00000,1.53531,0.01190,2.55782,0.00000,40.39705,0.00000,0.00000,0.00000,0.42652,0.26283,0.13161,1.09172,1.40416,0.16676,1.04561,2.38689,0.27291,0.57545,0.07739,0.00000,0.00000,0.08357,0.01212,0.44425,3.80273,0.53258,3.35415,0.14964,13.85267,0.00000,0.00000,0.00943,14.62540,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,3,0,2,0,7,0,0,0,7,1.46799,6.06583,4.10703,40.82357
20,8.862,0.00186,0.03051,0.49238,0.52808,0.44272,0.44276,5.51765,0.17794,0.00000,0.11507,0.00000,0.00000,0.00000,0.00027,0.00000,0.79223,1.04500,0.41287,0.00000,3.84324,0.00000,0.00000,0.00000,1.77295,0.18454,0.10128,0.91192,1.14134,0.24955,0.86475,3.32612,0.24442,0.40282,0.08870,0.00000,0.00000,0.05850,0.00857,0.31097,2.89958,0.68631,2.47177,0.10475,10.84984,0.00000,0.00000,0.00660,10.76966,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,6,0,0,0,6,1.93831,5.81066,2.25037,5.61619
21,8.897,0.00312,0.07344,0.91186,1.20877,0.94641,0.85819,1.09463,0.04046,6.59984,0.04999,0.00000,0.00000,0.00000,0.00003,0.00000,0.22038,0.39692,0.03336,0.00000,0.19631,0.00000,0.00000,0.00000,0.25065,0.13011,0.09293,0.91190,1.16157,0.45861,0.86278,2.65667,0.18323,2.26192,0.07708,0.00000,0.00000,0.04095,0.00601,0.21768,2.09582,0.59949,1.74024,0.07332,7.65378,0.00000,0.00000,0.00462,7.61396,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,2,0,1,0,5,0,0,0,5,4.00178,7.78492,0.65069,0.44696
22,9.668,0.00269,0.06687,0.45870,0.66873,0.41706,0.31298,4.35171,0.15464,2.52156,0.33817,0.00000,0.00000,0.00000,0.00013,0.00000,0.79207,0.82944,0.06247,0.00000,0.04722,0.00000,0.00000,0.19016,0.24558,0.09188,0.08511,0.77594,1.01372,0.44614,0.69784,3.16518,0.17466,2.33981,0.15541,0.00000,0.00000,0.02867,0.00424,0.15238,1.70470,0.66848,1.23691,0.05133,5.37181,0.00000,0.00000,0.06028,5.40344,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,4,0,0,0,4,1.92703,7.36609,1.68411,0.48295
23,11.332,0.03497,0.31027,1.44174,2.58143,0.00000,0.00000,3.50645,0.19021,1.03721,0.71033,0.00000,0.00000,0.00548,0.00001,0.00000,0.03309,0.02974,0.00318,0.00000,0.03712,0.00000,0.00000,0.30219,0.34335,0.07481,0.15266,0.97568,1.48403,0.31230,0.48849,3.26756,0.17932,1.94903,0.32189,0.00000,0.00000,0.02171,0.00297,0.10666,1.20321,0.47686,0.86679,0.03593,3.77141,0.00000,0.00000,0.13286,3.88542,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,4.36842,5.44420,0.07149,0.68267
24,11.906,0.01850,0.19544,1.11418,1.79425,0.00000,0.00000,2.84778,0.16744,0.82228,0.69691,0.00000,0.00000,0.00015,0.00002,0.00000,0.09033,0.07555,0.01051,0.00000,0.04289,0.00000,0.00000,0.11792,0.46392,0.05792,0.16549,1.01723,1.57710,0.21861,0.34194,3.14163,0.17576,1.61101,0.43439,0.00000,0.00000,0.01524,0.00209,0.07466,0.86935,0.35646,0.60991,0.02515,2.65285,0.00000,0.00000,0.12837,2.85897,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3.12236,4.53441,0.17656,0.62472
25,12.852,0.00592,0.14088,0.50464,0.88646,0.37683,0.00000,1.88999,0.12617,0.95690,1.09129,0.00000,0.00000,0.00008,0.00002,0.13668,0.09931,0.07461,0.01174,0.25490,0.02561,0.00000,0.00000,0.03650,0.29577,0.04232,0.15811,0.86345,1.36991,0.26608,0.23936,2.76614,0.16088,1.41478,0.63146,0.00000,0.00000,0.01069,0.00147,0.09327,0.63834,0.27191,0.43046,0.09407,1.86468,0.00000,0.00000,0.10081,2.09001,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.91473,4.06434,0.32245,0.61278
26,13.615,0.01622,0.34238,0.53299,1.03728,0.11384,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00030,0.00026,0.59527,1.26529,0.52137,0.09635,0.28402,0.01485,0.00000,0.00000,0.02222,0.26381,0.03449,0.21339,0.76432,1.27012,0.22041,0.16755,1.93630,0.11262,0.99034,0.44202,0.00000,0.00000,0.00758,0.00111,0.24387,0.82642,0.34675,0.33022,0.15106,1.30973,0.00000,0.00000,0.07724,1.54215,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.04271,0.00000,2.47885,0.58491
27,13.901,0.02029,0.53720,0.58014,1.47110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00043,0.00065,0.71077,1.37387,0.47668,0.12130,0.41102,0.01564,0.00000,0.00000,0.04758,0.41081,0.03023,0.31053,0.70906,1.33041,0.15428,0.11729,1.35541,0.07883,0.69324,0.30942,0.00000,0.00000,0.00543,0.00097,0.38394,0.99066,0.38573,0.26755,0.22905,0.92150,0.00000,0.00000,0.06834,1.20275,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.60873,0.00000,2.68370,0.88504
28,13.947,0.03079,0.72230,0.82110,2.02872,0.00000,0.00000,0.86864,0.04840,0.69910,1.24676,0.00000,0.00000,0.00032,0.00037,0.56768,1.09855,0.41466,0.09401,1.92934,0.15190,0.00000,0.00000,0.14704,2.40712,0.03040,0.43406,0.74267,1.53990,0.10800,0.08210,1.20938,0.06970,0.69500,0.59062,0.00000,0.00000,0.00390,0.00079,0.43906,1.02303,0.39440,0.21549,0.73913,0.69062,0.00000,0.00000,0.09195,1.56406,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.60291,2.86291,2.17559,4.63540
