step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
33,17.15,2.961515,0.229613,-1.941792,0.238875,-1.437502,-1.88908,-0.29792,1.558657,-0.155057,0.278488,1.396,0.62268,0.299304,0.378738,0.068273,1.471726,-0.174,0.414106,0.270382,1.497459,-0.003529,0.162569,2.960554,0.170743,-1.913072,0.196859,-1.425553,-1.932125,-0.14792,1.408657,-0.132733,0.128488,1.366484,0.627827,0.149304,0.33971,-0.013906,1.321726,-0.198494,0.414422,0.120382,1.347459,-0.126889,0.218017
34,17.46,2.979008,0.248699,-1.955169,0.234151,-1.457156,-1.896906,-0.28503,1.590906,-0.174,0.306711,1.396,0.667736,0.283054,0.344673,0.01897,1.484055,-0.174,0.424574,0.280569,1.496271,-0.008019,0.153527,2.959271,0.183444,-1.924966,0.209154,-1.428073,-1.916836,-0.13503,1.440906,-0.188538,0.164524,1.371828,0.629048,0.133054,0.347102,-0.001594,1.334055,-0.202032,0.415916,0.130569,1.346271,-0.093669,0.205236
35,17.47,2.989355,0.264072,-1.964623,0.215538,-1.477103,-1.914916,-0.276757,1.609512,-0.174,0.321045,1.396,0.717732,0.262557,0.29791,-0.027692,1.499487,-0.174,0.434786,0.282015,1.497641,-0.026399,0.130597,2.962668,0.196464,-1.936872,0.218207,-1.437616,-1.90924,-0.126757,1.459512,-0.201014,0.198629,1.372281,0.640309,0.112557,0.344796,0.002364,1.349487,-0.190862,0.418778,0.132015,1.347641,-0.052615,0.193378
36,17.4,3.000175,0.265555,-1.960188,0.209113,-1.497077,-1.919038,-0.271153,1.61,-0.174,0.32149,1.396,0.767523,0.235968,0.250195,-0.060465,1.524403,-0.174,0.445304,0.28073,1.507409,-0.030889,0.121556,2.968329,0.210229,-1.947664,0.22049,-1.451888,-1.909791,-0.121153,1.474414,-0.195743,0.227984,1.362044,0.659642,0.085968,0.332305,0.004329,1.374403,-0.186805,0.42202,0.13073,1.357409,-0.014839,0.17873
37,17.46,2.997105,0.25315,-1.953347,0.196036,-1.516985,-1.90927,-0.268212,1.61,-0.174,0.308046,1.396,0.814031,0.22068,0.202822,-0.079349,1.549502,-0.174,0.441933,0.279067,1.518837,-0.035881,0.126403,2.975821,0.221442,-1.954589,0.219047,-1.468149,-1.911692,-0.118212,1.488651,-0.192477,0.250392,1.346474,0.685438,0.07068,0.311237,0.005103,1.399503,-0.190955,0.42662,0.129067,1.368837,0.011332,0.165381
38,17.55,2.989429,0.23836,-1.951264,0.1839,-1.533671,-1.892198,-0.26946,1.61,-0.174,0.280713,1.396,0.84665,0.202713,0.169338,-0.084345,1.574939,-0.174,0.438055,0.273816,1.534844,-0.053527,0.135763,2.981692,0.228,-1.956954,0.212906,-1.485034,-1.90977,-0.11946,1.510139,-0.190704,0.264185,1.342551,0.715252,0.052713,0.283354,0.00207,1.424939,-0.190054,0.429576,0.123816,1.384844,0.034471,0.156504
39,17.67,2.99533,0.223146,-1.942396,0.17218,-1.536468,-1.873404,-0.271933,1.61,-0.174,0.239492,1.396,0.86538,0.178806,0.149743,-0.075451,1.600023,-0.174,0.448066,0.264593,1.563864,-0.064791,0.139966,2.984672,0.230506,-1.957107,0.204347,-1.501069,-1.902945,-0.121933,1.530946,-0.174046,0.268124,1.343823,0.744322,0.028806,0.25438,-0.004412,1.450023,-0.180148,0.431284,0.114593,1.413864,0.032041,0.152105
40,17.74,2.987341,0.205592,-1.943558,0.161343,-1.525376,-1.85387,-0.266311,1.61,-0.16266,0.189492,1.396,0.870221,0.164673,0.144037,-0.052669,1.61,-0.174,0.444188,0.265684,1.588555,-0.071764,0.149932,2.988244,0.229068,-1.954326,0.194129,-1.51276,-1.891917,-0.116311,1.553564,-0.173657,0.261224,1.346026,0.769907,0.014673,0.227638,-0.000727,1.476318,-0.187375,0.435045,0.115684,1.438555,0.027564,0.149787
41,17.99,2.975349,0.191025,-1.933853,0.164396,-1.506636,-1.834651,-0.264275,1.61,-0.137431,0.139512,1.396,0.861173,0.161343,0.152219,-0.015997,1.61,-0.174,0.433607,0.266152,1.61,-0.064848,0.167339,2.989225,0.224643,-1.951294,0.184095,-1.517258,-1.878323,-0.114275,1.564552,-0.164547,0.243963,1.345367,0.790462,0.011343,0.206176,0.000725,1.494398,-0.199179,0.436289,0.116152,1.460419,0.006249,0.150313
42,18.56,2.975002,0.189548,-1.926408,0.153559,-1.486868,-1.815492,-0.263521,1.61,-0.09909,0.092203,1.396,0.838237,0.176406,0.174291,0.032748,1.61,-0.174,0.436914,0.267631,1.61,-0.060266,0.170857,2.986915,0.218505,-1.947031,0.177173,-1.514553,-1.862925,-0.113521,1.558058,-0.15248,0.218826,1.343858,0.805439,0.026406,0.192887,0.001751,1.490415,-0.19883,0.434055,0.117631,1.466285,-0.012312,0.154592
43,19.05,2.960767,0.197942,-1.91784,0.152425,-1.470621,-1.795555,-0.260602,1.61,-0.074638,0.058783,1.396,0.801411,0.181236,0.210252,0.080349,1.61,-0.174,0.426333,0.273163,1.61,-0.042034,0.160486,2.984054,0.212034,-1.941735,0.167573,-1.505961,-1.846924,-0.110602,1.542524,-0.13728,0.188347,1.348762,0.811118,0.031236,0.18892,0.008153,1.480166,-0.202873,0.433494,0.123163,1.462918,-0.026839,0.158507
44,19.9,2.957989,0.192448,-1.918147,0.148649,-1.450958,-1.775583,-0.261333,1.61,-0.064074,0.039252,1.396,0.778474,0.188118,0.260101,0.130101,1.61,-0.174,0.429641,0.274347,1.607078,-0.01776,0.164004,2.978878,0.208659,-1.937048,0.159723,-1.494489,-1.82996,-0.111333,1.519784,-0.108191,0.157173,1.351959,0.806952,0.038118,0.195037,0.006781,1.469378,-0.203731,0.430405,0.124347,1.457078,-0.035746,0.158928
45,20.49,2.949864,0.197832,-1.912555,0.144191,-1.431591,-1.75561,-0.266821,1.61,-0.0674,0.033609,1.396,0.741648,0.190896,0.310069,0.152258,1.605399,-0.174,0.428614,0.271687,1.607189,0.010559,0.181411,2.973471,0.205223,-1.932923,0.153073,-1.47978,-1.811384,-0.116821,1.512389,-0.09859,0.128785,1.357535,0.798585,0.040896,0.211444,0.002258,1.455399,-0.197445,0.430237,0.121687,1.460918,-0.064775,0.159922
46,21.28,2.947888,0.203917,-1.916204,0.150786,-1.411805,-1.735618,-0.272506,1.61,-0.084615,0.041856,1.396,0.7025,0.199174,0.358794,0.148206,1.581661,-0.174,0.430865,0.269232,1.598094,0.049773,0.184929,2.966516,0.202227,-1.928711,0.147366,-1.464074,-1.792382,-0.122506,1.507239,-0.117117,0.105845,1.360676,0.783826,0.049174,0.235628,-0.001794,1.431661,-0.190681,0.4295,0.119232,1.448094,-0.078002,0.164886
47,22.62,2.933087,0.21041,-1.92515,0.164276,-1.392332,-1.715622,-0.284359,1.61,-0.115718,0.063991,1.396,0.671882,0.210556,0.39363,0.13866,1.552813,-0.174,0.433731,0.262657,1.588718,0.038472,0.174558,2.959993,0.201325,-1.926398,0.145835,-1.447331,-1.773156,-0.134359,1.501872,-0.136969,0.090411,1.364175,0.76404,0.060556,0.265976,-0.01134,1.402813,-0.181568,0.429592,0.112657,1.438718,-0.111528,0.169176
48,24.44,2.932174,0.216209,-1.936778,0.179318,-1.373597,-1.695626,-0.289573,1.61,-0.160711,0.100016,1.396,0.655152,0.22202,0.414577,0.136481,1.529997,-0.174,0.422707,0.263091,1.571559,0.02921,0.150299,2.951723,0.203203,-1.927398,0.148988,-1.429285,-1.753312,-0.139573,1.493039,-0.16276,0.084017,1.366719,0.742477,0.07202,0.297427,-0.013519,1.379997,-0.181795,0.430914,0.113091,1.421559,-0.12079,0.170157
49,25.72,2.936182,0.232434,-1.945359,0.190934,-1.368751,-1.675635,-0.286705,1.61,-0.174,0.149632,1.396,0.652312,0.231416,0.421635,0.140168,1.526978,-0.174,0.397795,0.267372,1.566744,0.025469,0.11215,2.944758,0.206388,-1.931903,0.156514,-1.41079,-1.733495,-0.136705,1.494329,-0.185932,0.087809,1.372325,0.722256,0.081416,0.325778,-0.009832,1.376978,-0.192127,0.429232,0.117372,1.416744,-0.124531,0.165198
50,26.34,2.930502,0.247873,-1.952443,0.203871,-1.377794,-1.655713,-0.296881,1.61,-0.174,0.199374,1.396,0.663361,0.242794,0.414804,0.131927,1.512725,-0.174,0.386772,0.261579,1.554227,0.021953,0.08789,2.940858,0.211722,-1.938601,0.165567,-1.397213,-1.713789,-0.146881,1.484294,-0.19645,0.102585,1.373893,0.707003,0.092794,0.349262,-0.018073,1.362725,-0.191317,0.421763,0.111579,1.404227,-0.128047,0.152215
