step,level_index_c_dist,level_index_c_prox,level_index_ny_dist,level_index_ny_prox,level_index_py_dist,level_index_py_prox,level_thumb_c_dist,level_thumb_c_prox,level_thumb_ny_dist,level_thumb_ny_prox,level_thumb_py_dist,level_thumb_py_prox,level_middle_c_dist,level_middle_c_prox,level_middle_ny_dist,level_middle_ny_prox,level_middle_py_dist,level_middle_py_prox,level_ring_c_dist,level_ring_c_prox,level_ring_ny_dist,level_ring_ny_prox,level_ring_py_dist,level_ring_py_prox,filt_index_c_dist,filt_index_c_prox,filt_index_ny_dist,filt_index_ny_prox,filt_index_py_dist,filt_index_py_prox,filt_thumb_c_dist,filt_thumb_c_prox,filt_thumb_ny_dist,filt_thumb_ny_prox,filt_thumb_py_dist,filt_thumb_py_prox,filt_middle_c_dist,filt_middle_c_prox,filt_middle_ny_dist,filt_middle_ny_prox,filt_middle_py_dist,filt_middle_py_prox,filt_ring_c_dist,filt_ring_c_prox,filt_ring_ny_dist,filt_ring_ny_prox,filt_ring_py_dist,filt_ring_py_prox,tot_index,tot_thumb,tot_middle,tot_ring
26,1,0,0,0,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.89,0.13,0.02,0.26,8.9,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.06,0.05,0.07,12.5,0.0,5.3,0.0
27,1,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.45,0.11,0.01,0.18,6.69,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.48,0.0,0.05,0.01,0.0,0.0,0.04,0.04,0.05,3.0,0.0,5.6,0.0
28,1,0,0,0,4,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.38,0.17,0.01,0.13,5.94,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.48,0.0,0.04,0.01,0.0,0.0,0.03,0.03,0.03,9.2,0.0,8.0,0.0
29,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.99,0.13,0.01,0.09,4.24,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,0.71,0.0,0.03,0.0,0.0,0.0,0.02,0.02,0.02,0.7,0.0,7.9,0.0
30,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0.7,0.09,0.0,0.06,2.97,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79,0.0,1.17,0.0,0.02,0.03,0.0,0.0,0.01,0.11,0.02,0.0,0.0,6.2,0.4
31,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0.63,0.16,0.0,0.04,2.37,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,1.19,0.0,0.01,0.28,0.0,0.0,0.01,0.86,0.16,2.8,0.0,3.2,4.0
32,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.8,0.32,0.0,0.03,2.42,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,1.3,0.0,0.01,0.2,0.0,0.0,0.01,0.6,0.11,6.9,0.0,4.0,0.0
33,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1.14,0.49,0.0,0.02,2.83,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0.0,1.44,0.0,0.01,0.16,0.0,0.01,0.01,0.49,0.09,9.9,0.0,4.4,0.4
34,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1.24,0.52,0.0,0.01,2.74,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,1.47,0.0,0.0,0.24,0.0,0.12,0.0,0.96,0.16,6.6,0.0,3.5,3.2
35,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1.58,0.64,0.0,0.01,3.11,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,0.0,1.45,0.0,0.0,0.38,0.0,0.08,0.0,1.59,0.29,10.2,0.0,3.1,4.3
36,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1.78,0.72,0.0,0.01,3.24,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,1.37,0.0,0.0,0.38,0.0,0.06,0.51,1.59,0.3,9.4,0.0,2.8,4.0
37,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1.93,0.77,0.0,0.01,3.39,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,1.37,0.0,0.0,0.36,0.0,0.04,0.73,1.46,0.28,9.6,0.0,3.5,2.9
38,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1.75,0.69,0.0,0.0,3.09,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,1.45,0.0,0.0,0.3,0.0,0.03,0.71,1.2,0.24,5.9,0.0,4.3,1.6
39,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1.56,0.59,0.0,0.0,2.75,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.54,0.0,0.0,0.24,0.0,0.04,0.59,0.92,0.19,4.9,0.0,4.6,0.8
40,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1.43,0.5,0.0,0.0,2.92,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,1.53,0.0,0.0,0.23,0.0,0.11,0.76,0.98,0.2,6.8,0.0,4.1,3.0
41,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,1.3,0.43,0.0,0.0,3.06,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,1.37,0.0,0.0,0.26,0.0,0.29,1.19,1.35,0.25,6.8,0.0,2.7,5.9
42,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,1.24,0.37,0.0,0.0,3.15,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,1.3,0.0,0.0,0.22,0.0,0.25,1.04,1.15,0.21,6.8,0.0,3.1,1.8
43,1,0,0,0,3,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1.25,0.32,0.0,0.0,3.71,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,1.19,0.0,0.0,0.16,0.0,0.18,0.73,0.81,0.15,8.9,0.0,3.5,0.0
44,1,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.2,0.26,0.0,0.0,4.01,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.99,0.0,0.0,0.11,0.0,0.12,0.51,0.56,0.1,7.9,0.0,3.8,0.0
45,1,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.14,0.21,0.0,0.0,4.29,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82,0.0,0.84,0.0,0.0,0.08,0.0,0.09,0.36,0.39,0.07,8.0,0.0,3.9,0.0
46,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.99,0.16,0.0,0.0,3.95,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,1.06,0.0,0.0,0.08,0.0,0.06,0.25,0.51,0.09,5.5,0.0,4.4,1.0
47,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0.9,0.14,0.0,0.0,4.02,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,1.15,0.0,0.0,0.16,0.0,0.41,0.18,1.41,0.26,7.2,0.0,3.5,5.7
48,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0.84,0.11,0.0,0.0,4.48,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,1.22,0.0,0.0,0.13,0.0,0.35,0.3,1.16,0.22,8.7,0.0,3.6,1.6
