step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
21,34.83,0.116525,0.285625,1.410012,3.17974,-1.445118,-2.322583,0.140212,1.114173,0.271086,0.229596,1.396,0.143933,0.502415,-0.162,0.402155,1.368784,-0.174,0.223829,0.47,1.491674,-0.174,-0.227,0.108285,0.281736,1.422119,3.171216,-1.445436,-2.392073,0.152019,0.985991,0.121086,0.29875,1.303947,0.131435,0.352415,-0.155267,0.252155,1.218784,-0.177081,0.119985,0.431202,1.466975,-0.171195,-0.218612
22,36.12,0.113545,0.29188,1.39843,3.171921,-1.43909,-2.302597,0.127489,1.088962,0.274378,0.199245,1.396,0.114516,0.506105,-0.162,0.390505,1.360315,-0.174,0.237044,0.47,1.493009,-0.174,-0.227,0.109803,0.284121,1.418584,3.172055,-1.441914,-2.371809,0.149188,0.986076,0.124378,0.282067,1.319882,0.131153,0.356105,-0.155484,0.240505,1.210315,-0.179453,0.143922,0.421305,1.461016,-0.171285,-0.219
23,37.7,0.120126,0.297993,1.394977,3.17799,-1.433531,-2.2826,0.123457,1.049862,0.288604,0.182783,1.396,0.098989,0.503995,-0.162,0.385608,1.35506,-0.174,0.236369,0.47,1.508233,-0.174,-0.227,0.110582,0.287717,1.412752,3.170722,-1.438793,-2.350821,0.144223,0.98502,0.138604,0.262106,1.321835,0.123794,0.353995,-0.155871,0.235608,1.20506,-0.178537,0.165573,0.41867,1.45609,-0.161622,-0.219886
24,38.93,0.114088,0.302522,1.386867,3.185862,-1.425905,-2.262606,0.121062,1.005965,0.310149,0.171202,1.396,0.09735,0.506907,-0.162,0.378422,1.347567,-0.174,0.249583,0.47,1.530656,-0.174,-0.227,0.112203,0.291643,1.407292,3.171613,-1.434701,-2.329991,0.139604,0.974343,0.160149,0.242995,1.327936,0.115033,0.356907,-0.156021,0.228422,1.197567,-0.176642,0.18197,0.413734,1.452691,-0.165047,-0.220701
25,40.42,0.118646,0.310781,1.380114,3.188445,-1.425147,-2.242611,0.122989,0.975957,0.334074,0.145732,1.396,0.1096,0.513699,-0.162,0.377258,1.337369,-0.174,0.263669,0.47,1.550367,-0.174,-0.227,0.1129,0.296319,1.400946,3.174508,-1.42995,-2.309619,0.135467,0.95782,0.184074,0.225699,1.335999,0.108155,0.363699,-0.156154,0.227258,1.187369,-0.178229,0.197473,0.411321,1.449521,-0.173535,-0.221193
26,40.58,0.119494,0.316085,1.376348,3.204093,-1.42338,-2.222615,0.119658,0.959838,0.357747,0.134151,1.396,0.135222,0.508312,-0.162,0.3761,1.339837,-0.174,0.263866,0.47,1.556189,-0.174,-0.227,0.113634,0.301625,1.394824,3.178107,-1.426254,-2.289022,0.13257,0.950875,0.207747,0.206435,1.327901,0.104347,0.358312,-0.157239,0.2261,1.189837,-0.175187,0.213142,0.409304,1.454611,-0.174632,-0.221734
27,40.73,0.116075,0.321712,1.367578,3.20799,-1.419669,-2.202618,0.114244,0.940767,0.375735,0.115254,1.396,0.168188,0.518196,-0.162,0.364906,1.329953,-0.174,0.277951,0.47,1.573321,-0.174,-0.227,0.114717,0.307344,1.389371,3.184603,-1.423004,-2.269737,0.12942,0.938917,0.225735,0.189015,1.339694,0.108786,0.368196,-0.157798,0.214906,1.179953,-0.176136,0.224563,0.402121,1.449455,-0.181552,-0.221475
28,40.88,0.115292,0.329572,1.362972,3.211769,-1.418666,-2.182622,0.109492,0.931174,0.397484,0.10306,1.396,0.187264,0.524834,-0.162,0.353813,1.323001,-0.174,0.298022,0.47,1.576564,-0.174,-0.227,0.114972,0.313387,1.382968,3.190509,-1.420078,-2.250086,0.125721,0.927651,0.247484,0.171243,1.346997,0.119896,0.374833,-0.158379,0.203813,1.173001,-0.176593,0.236722,0.395837,1.44527,-0.184456,-0.221396
29,40.99,0.113309,0.336855,1.35614,3.218356,-1.415516,-2.162631,0.118629,0.935469,0.418474,0.076977,1.396,0.192452,0.53304,-0.162,0.337478,1.314859,-0.174,0.304204,0.47,1.565918,-0.174,-0.227,0.114633,0.319562,1.376868,3.195718,-1.417999,-2.230339,0.121817,0.914775,0.268474,0.154813,1.351593,0.133267,0.38304,-0.158697,0.187478,1.164859,-0.175863,0.250714,0.3895,1.439627,-0.192726,-0.221398
30,41.79,0.113659,0.344252,1.3457,3.214001,-1.41296,-2.142634,0.122534,0.937554,0.434237,0.064782,1.396,0.19098,0.548412,-0.162,0.3301,1.300381,-0.174,0.319668,0.47,1.56916,-0.174,-0.227,0.113896,0.326031,1.370314,3.200608,-1.415428,-2.210965,0.121016,0.902488,0.284237,0.136054,1.356382,0.145355,0.398412,-0.15866,0.1801,1.150381,-0.177896,0.262553,0.382553,1.427804,-0.18627,-0.221094
31,43.54,0.116179,0.350635,1.343751,3.220031,-1.406594,-2.122637,0.117731,0.941016,0.453787,0.05359,1.396,0.200264,0.554023,-0.162,0.337938,1.289798,-0.174,0.321244,0.47,1.558514,-0.174,-0.227,0.113149,0.33279,1.362442,3.202938,-1.412985,-2.190406,0.121603,0.892662,0.303787,0.118879,1.361223,0.154168,0.404023,-0.1586,0.187938,1.139798,-0.177661,0.275706,0.388454,1.417527,-0.18464,-0.221515
32,43.7,0.111939,0.349862,1.336813,3.226351,-1.403019,-2.102646,0.111546,0.952639,0.474506,0.034895,1.396,0.215026,0.553605,-0.162,0.332783,1.288749,-0.174,0.323216,0.47,1.548441,-0.174,-0.227,0.1133,0.339237,1.356572,3.207109,-1.409975,-2.170115,0.120956,0.883535,0.324506,0.103146,1.361381,0.162816,0.403605,-0.158272,0.182783,1.138749,-0.174255,0.285897,0.38958,1.416806,-0.186285,-0.221802
33,45.13,0.116357,0.358628,1.328557,3.221945,-1.401943,-2.082647,0.11873,0.950373,0.484114,0.030089,1.396,0.21658,0.564997,-0.162,0.338363,1.277486,-0.174,0.339076,0.47,1.552257,-0.174,-0.227,0.113034,0.345082,1.350612,3.210707,-1.406424,-2.150911,0.118745,0.872697,0.334114,0.086687,1.362814,0.173274,0.414997,-0.157601,0.188363,1.127486,-0.177801,0.293654,0.394212,1.406917,-0.188978,-0.221295
34,46.93,0.120167,0.366632,1.326916,3.226539,-1.397015,-2.062649,0.114086,0.950817,0.491342,0.030557,1.396,0.207365,0.573913,-0.162,0.341138,1.267079,-0.174,0.348349,0.47,1.547377,-0.174,-0.227,0.113112,0.350494,1.343723,3.212056,-1.403623,-2.130573,0.119041,0.868204,0.341342,0.073031,1.364766,0.182311,0.423913,-0.157609,0.191138,1.117079,-0.177312,0.303889,0.397124,1.397377,-0.186973,-0.221577
35,47.62,0.114295,0.365686,1.320261,3.232188,-1.390821,-2.042651,0.104651,0.937373,0.509518,0.028897,1.396,0.212038,0.569058,-0.162,0.34457,1.268617,-0.174,0.366081,0.47,1.547509,-0.174,-0.227,0.114333,0.356147,1.338349,3.21496,-1.400377,-2.110674,0.11797,0.8644,0.359518,0.062787,1.356272,0.185809,0.419058,-0.157283,0.19457,1.118617,-0.17664,0.313697,0.401876,1.397509,-0.185059,-0.221503
36,49.23,0.122312,0.37168,1.309734,3.226339,-1.386145,-2.022673,0.109105,0.937818,0.510529,0.013347,1.396,0.221161,0.581744,-0.162,0.332457,1.254388,-0.174,0.369924,0.47,1.536373,-0.174,-0.227,0.114726,0.361616,1.332835,3.217773,-1.396425,-2.091194,0.115001,0.852643,0.360529,0.05459,1.361217,0.190812,0.431744,-0.156884,0.182457,1.104388,-0.176756,0.325169,0.392954,1.386373,-0.189887,-0.221201
37,50.7,0.125053,0.379492,1.309268,3.228752,-1.379361,-2.002679,0.112461,0.952151,0.517953,-0.016092,1.396,0.216395,0.589854,-0.162,0.332603,1.245367,-0.174,0.362981,0.47,1.522085,-0.174,-0.227,0.115817,0.366385,1.325798,3.218201,-1.392223,-2.070592,0.114041,0.84672,0.367953,0.044631,1.362213,0.197305,0.439854,-0.156876,0.182603,1.095367,-0.175583,0.335235,0.39387,1.372085,-0.174307,-0.221608
38,52.55,0.122012,0.379514,1.296469,3.22734,-1.372422,-1.982719,0.111587,0.966293,0.524992,-0.031642,1.396,0.206114,0.596471,-0.162,0.333136,1.238007,-0.174,0.369928,0.47,1.513743,-0.174,-0.227,0.117824,0.370965,1.320113,3.219306,-1.387391,-2.050177,0.114219,0.84148,0.374992,0.029981,1.363878,0.201294,0.446471,-0.15648,0.183136,1.088007,-0.176792,0.340951,0.395582,1.363743,-0.173276,-0.221905
39,52.86,0.126051,0.391094,1.29756,3.230729,-1.371736,-1.96272,0.096824,0.966546,0.533965,-0.033303,1.396,0.209722,0.592847,-0.162,0.352094,1.236594,-0.174,0.390763,0.47,1.512639,-0.174,-0.227,0.119187,0.375743,1.313159,3.22033,-1.382277,-2.029407,0.114188,0.843046,0.383965,0.015117,1.364707,0.201561,0.442847,-0.156354,0.202094,1.086594,-0.174845,0.347297,0.410293,1.362639,-0.180125,-0.222456
40,52.99,0.127205,0.388786,1.292122,3.24269,-1.372012,-1.942752,0.073274,0.977592,0.539803,-0.021075,1.396,0.214312,0.593507,-0.162,0.345782,1.235194,-0.174,0.397709,0.47,1.517025,-0.174,-0.227,0.120562,0.380901,1.308125,3.222176,-1.37873,-2.009885,0.110453,0.837388,0.389803,0.003428,1.355737,0.202317,0.443507,-0.155616,0.195782,1.085194,-0.177928,0.3565,0.408742,1.367025,-0.186139,-0.222218
41,54.82,0.122742,0.392572,1.282882,3.240762,-1.366902,-1.922764,0.063613,0.974748,0.541897,-0.022736,1.396,0.216647,0.59835,-0.162,0.346544,1.226514,-0.174,0.418544,0.47,1.512871,-0.174,-0.227,0.122242,0.385866,1.303497,3.226112,-1.376205,-1.990608,0.101806,0.83429,0.391897,-0.002508,1.360151,0.203914,0.44835,-0.154927,0.196544,1.076514,-0.174012,0.365282,0.402287,1.362871,-0.191686,-0.221661
42,54.99,0.132168,0.404652,1.28753,3.231606,-1.369102,-1.90277,0.041336,0.984997,0.541417,-0.038285,1.396,0.213458,0.596556,-0.162,0.340821,1.224436,-0.174,0.42549,0.47,1.509871,-0.174,-0.227,0.122717,0.390372,1.297703,3.228657,-1.372877,-1.97104,0.092825,0.834997,0.391417,-0.007418,1.362199,0.205339,0.446556,-0.154875,0.190821,1.074436,-0.18134,0.377066,0.403096,1.359872,-0.198989,-0.221348
43,56.04,0.127705,0.402843,1.27829,3.225412,-1.361382,-1.882887,0.032949,0.981545,0.543329,-0.039946,1.396,0.224159,0.602136,-0.162,0.335539,1.217851,-0.174,0.418547,0.47,1.499778,-0.174,-0.227,0.124046,0.394468,1.294203,3.227381,-1.371675,-1.951249,0.080923,0.831545,0.393329,-0.014887,1.363301,0.206547,0.452136,-0.154311,0.185539,1.067851,-0.178854,0.387387,0.398954,1.349778,-0.187285,-0.221246
44,56.8,0.137131,0.402454,1.264693,3.233108,-1.360804,-1.863003,0.03845,0.961099,0.557149,-0.055496,1.396,0.248747,0.606814,-0.162,0.330104,1.204109,-0.174,0.397715,0.47,1.485635,-0.174,-0.227,0.125189,0.398697,1.289447,3.224574,-1.369482,-1.931033,0.074851,0.811099,0.407149,-0.020944,1.365379,0.21098,0.463093,-0.153031,0.180104,1.054109,-0.177184,0.393233,0.396393,1.335635,-0.179121,-0.22143
45,57.98,0.138136,0.4124,1.264076,3.229117,-1.353148,-1.843012,0.043589,0.958007,0.567311,-0.083101,1.396,0.259448,0.614409,-0.162,0.325979,1.202735,-0.174,0.390772,0.47,1.476129,-0.174,-0.227,0.127287,0.402192,1.282331,3.224956,-1.366871,-1.910306,0.073335,0.808007,0.417311,-0.029291,1.368289,0.220231,0.464409,-0.152795,0.175979,1.052735,-0.175136,0.393247,0.391211,1.326129,-0.159985,-0.221874
46,59.43,0.138764,0.413061,1.252978,3.228194,-1.349121,-1.823046,0.042066,0.959596,0.575817,-0.096816,1.396,0.256259,0.611358,-0.162,0.325999,1.208573,-0.174,0.397719,0.47,1.471513,-0.174,-0.227,0.130147,0.405927,1.276088,3.224113,-1.362178,-1.889431,0.075791,0.809596,0.425817,-0.042275,1.370669,0.229573,0.461358,-0.153153,0.175999,1.058573,-0.179466,0.391931,0.389116,1.321513,-0.145876,-0.222389
47,60.58,0.141284,0.419585,1.247815,3.227659,-1.344837,-1.803057,0.039092,0.961913,0.576639,-0.096642,1.396,0.239181,0.612046,-0.162,0.326262,1.206844,-0.174,0.401393,0.47,1.465997,-0.174,-0.227,0.132611,0.410219,1.268996,3.223415,-1.358066,-1.8689,0.080254,0.811913,0.426639,-0.055444,1.370123,0.236198,0.462046,-0.153775,0.176262,1.056844,-0.177287,0.392517,0.388496,1.315997,-0.136942,-0.222791
48,62.09,0.142642,0.419459,1.244694,3.224469,-1.341982,-1.783065,0.025561,0.961426,0.578858,-0.08258,1.396,0.228599,0.606319,-0.162,0.338929,1.211619,-0.174,0.418956,0.47,1.476317,-0.174,-0.227,0.134835,0.414421,1.262492,3.22336,-1.353828,-1.848596,0.071368,0.81569,0.428858,-0.0654,1.366945,0.236705,0.456319,-0.15423,0.188929,1.061619,-0.176568,0.393844,0.402882,1.326317,-0.154347,-0.222942
