step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
22,52.71,0.172332,0.297757,1.401174,3.160017,-1.330944,-2.209793,0.020729,0.991085,0.105028,0.453763,1.396,0.035684,0.539417,-0.162,0.428751,1.220095,-0.174,0.513037,0.47,1.324128,0.224553,-0.227,0.164729,0.292562,1.410621,3.171277,-1.345211,-2.272303,0.124499,0.991937,-0.036708,0.489128,1.363135,0.037302,0.389417,-0.135433,0.278751,1.070095,-0.156698,0.475873,0.461731,1.245089,0.074553,-0.225738
23,54.24,0.169451,0.288479,1.389925,3.159643,-1.319933,-2.18981,-0.023855,0.941475,0.149306,0.413281,1.396,0.022662,0.543149,-0.162,0.429643,1.229975,-0.174,0.519045,0.47,1.334513,0.23073,-0.227,0.165856,0.294655,1.407882,3.167744,-1.341118,-2.252063,0.126145,0.968621,0.010815,0.480631,1.367142,0.03404,0.393149,-0.140571,0.279643,1.079975,-0.176985,0.484281,0.462254,1.241663,0.08073,-0.225923
24,55.6,0.168521,0.302429,1.395411,3.15544,-1.325545,-2.169824,-0.021697,0.891959,0.192332,0.400915,1.396,0.027169,0.545222,-0.162,0.431008,1.228583,-0.174,0.523277,0.47,1.325618,0.233875,-0.227,0.167059,0.296011,1.403732,3.165169,-1.335322,-2.231889,0.128303,0.941643,0.064327,0.464442,1.368286,0.028217,0.395222,-0.14448,0.281008,1.078583,-0.178253,0.492114,0.462498,1.238717,0.083875,-0.226066
25,56.13,0.169453,0.290464,1.381235,3.156969,-1.320396,-2.149842,-0.027688,0.843359,0.238253,0.369368,1.396,0.019627,0.549341,-0.162,0.427818,1.22477,-0.174,0.517534,0.47,1.319206,0.238467,-0.227,0.167403,0.297743,1.40101,3.161755,-1.332381,-2.211425,0.122312,0.919662,0.101106,0.449156,1.372307,0.025099,0.399341,-0.148192,0.277818,1.07477,-0.178532,0.499612,0.46344,1.234722,0.088467,-0.226304
26,57.59,0.170752,0.304859,1.389077,3.146703,-1.323951,-2.129858,-0.02712,0.794288,0.280948,0.389898,1.396,0.017893,0.556558,-0.162,0.428144,1.217257,-0.174,0.518182,0.47,1.315098,0.241459,-0.227,0.167894,0.299356,1.396425,3.159398,-1.32832,-2.190948,0.12288,0.900192,0.131928,0.429946,1.375897,0.021386,0.406558,-0.151638,0.278144,1.067257,-0.178586,0.504189,0.464218,1.227574,0.091459,-0.226648
27,58.64,0.162843,0.291802,1.373644,3.149365,-1.319481,-2.109868,-0.038499,0.74789,0.314769,0.348234,1.396,0.008863,0.557097,-0.162,0.436878,1.215889,-0.174,0.513669,0.47,1.283707,0.249951,-0.227,0.168327,0.300871,1.394089,3.154726,-1.326035,-2.169686,0.111501,0.883924,0.164769,0.420302,1.380265,0.017363,0.407097,-0.154987,0.286878,1.065889,-0.177036,0.5086,0.465692,1.223073,0.099951,-0.227095
28,60.2,0.154803,0.306055,1.380469,3.135561,-1.330822,-2.089878,-0.056692,0.791746,0.348148,0.342644,1.396,0.04418,0.557063,-0.162,0.446451,1.213674,-0.174,0.555935,0.47,1.276064,0.259123,-0.227,0.167349,0.302385,1.389621,3.152543,-1.323275,-2.148865,0.093308,0.860976,0.198148,0.40295,1.383381,0.011903,0.407063,-0.15763,0.296451,1.063674,-0.176038,0.510903,0.46619,1.215641,0.109123,-0.227035
29,62.17,0.164081,0.296453,1.367612,3.14429,-1.31445,-2.069886,-0.040599,0.790385,0.393305,0.319983,1.396,0.04488,0.555175,-0.162,0.450699,1.213644,-0.174,0.520368,0.47,1.266719,0.263176,-0.227,0.164071,0.303979,1.387051,3.147287,-1.325912,-2.12872,0.109401,0.843777,0.243305,0.388443,1.384506,0.016239,0.405175,-0.158817,0.300699,1.063644,-0.177271,0.522344,0.465616,1.212665,0.113176,-0.227027
30,62.9,0.155251,0.307917,1.377965,3.132809,-1.324843,-2.049895,-0.045263,0.801404,0.421299,0.342685,1.396,0.029636,0.562431,-0.162,0.447441,1.208167,-0.174,0.539562,0.47,1.254375,0.263857,-0.227,0.163052,0.305452,1.38294,3.146279,-1.322273,-2.109349,0.104737,0.824113,0.271299,0.371954,1.383118,0.020568,0.412431,-0.159473,0.297441,1.058167,-0.178025,0.522032,0.465598,1.206705,0.113857,-0.227025
31,63.69,0.157007,0.295046,1.36261,3.136582,-1.314196,-2.029905,-0.046788,0.820893,0.445811,0.305842,1.396,0.046437,0.568702,-0.162,0.445661,1.203366,-0.174,0.529245,0.47,1.221474,0.26809,-0.227,0.161284,0.306771,1.381571,3.141686,-1.323204,-2.08976,0.103212,0.809436,0.295811,0.364895,1.383557,0.020219,0.418702,-0.159869,0.295661,1.053366,-0.177906,0.526481,0.465491,1.201046,0.11809,-0.226973
