step,raw_index,raw_thumb,raw_middle,raw_ring,filt_index,filt_thumb,filt_middle,filt_ring,level_index,level_thumb,level_middle,level_ring
185,5.483,0.614,5.956,6.268,5.02,1.397,5.409,7.502,1,0,1,1
186,3.82,2.054,4.413,6.114,4.66,1.594,5.111,7.086,1,0,1,1
187,3.157,2.22,3.46,4.512,4.209,1.782,4.616,6.313,1,0,1,1
188,3.696,2.635,4.403,3.44,4.055,2.038,4.552,5.451,1,0,1,1
189,2.175,4.125,4.039,3.064,3.491,2.664,4.398,4.735,0,0,1,1
190,2.602,4.479,4.459,1.744,3.224,3.209,4.416,3.838,0,0,1,0
191,2.036,5.046,3.342,4.592,2.868,3.76,4.094,4.064,0,0,1,1
192,3.348,2.602,3.815,9.165,3.012,3.412,4.01,5.594,0,0,1,1
193,4.785,0.972,5.605,11.579,3.544,2.68,4.489,7.39,0,0,1,1
194,3.12,1.417,4.596,14.008,3.417,2.301,4.521,9.375,0,0,1,2
195,7.831,0.0,3.147,9.032,4.741,1.611,4.109,9.272,1,0,1,2
196,6.873,2.516,4.912,9.089,5.381,1.883,4.35,9.218,1,0,1,2
197,5.169,1.243,4.587,5.425,5.317,1.691,4.421,8.08,1,0,1,2
198,3.07,5.97,2.33,3.232,4.643,2.975,3.794,6.626,1,0,0,1
199,2.725,3.173,1.91,1.182,4.068,3.034,3.228,4.993,1,0,0,1
200,3.211,1.0,5.507,1.4,3.81,2.424,3.912,3.915,0,0,0,0
201,2.771,2.312,4.606,0.0,3.499,2.39,4.12,2.74,0,0,1,0
202,2.355,6.754,4.796,2.059,3.155,3.699,4.323,2.536,0,0,1,0
203,3.12,8.132,2.195,4.55,3.145,5.029,3.685,3.14,0,1,0,0
204,5.701,7.518,1.347,4.548,3.912,5.776,2.983,3.562,0,1,0,0
205,6.37,3.095,2.627,0.0,4.649,4.971,2.876,2.494,1,1,0,0
206,4.162,4.758,1.618,0.0,4.503,4.908,2.499,1.746,1,1,0,0
207,2.541,4.618,4.048,1.566,3.914,4.821,2.963,1.692,0,1,0,0
208,2.512,3.974,3.951,1.558,3.494,4.567,3.26,1.652,0,1,0,0
209,2.338,2.543,3.733,1.33,3.147,3.96,3.402,1.555,0,0,0,0
210,2.999,3.202,4.65,4.752,3.102,3.732,3.776,2.514,0,0,0,0
211,2.412,1.061,6.753,13.181,2.895,2.931,4.669,5.714,0,0,1,1
212,2.663,3.589,5.757,8.545,2.825,3.128,4.996,6.563,0,0,1,1
213,7.647,3.059,3.857,9.173,4.272,3.107,4.654,7.346,1,0,1,1
214,5.101,4.698,1.875,8.416,4.521,3.585,3.82,7.667,1,0,0,1
215,5.388,5.156,1.951,9.318,4.781,4.056,3.26,8.162,1,1,0,2
216,5.898,3.865,2.875,7.427,5.116,3.999,3.144,7.942,1,0,0,1
217,3.634,1.661,3.461,1.025,4.671,3.297,3.239,5.867,1,0,0,1
218,3.084,2.804,1.279,1.475,4.195,3.149,2.651,4.549,1,0,0,1
219,3.537,3.48,2.203,6.178,3.998,3.249,2.517,5.038,0,0,0,1
220,5.476,4.342,2.99,14.298,4.441,3.577,2.659,7.816,1,0,0,1
221,5.601,2.858,4.408,7.78,4.789,3.361,3.183,7.805,1,0,0,1
222,5.823,3.809,3.585,8.381,5.099,3.495,3.304,7.978,1,0,0,1
223,4.974,2.761,3.599,7.916,5.062,3.275,3.393,7.959,1,0,0,1
224,4.511,3.544,3.97,5.92,4.897,3.356,3.566,7.347,1,0,0,1
225,5.105,3.161,3.627,6.995,4.959,3.297,3.584,7.242,1,0,0,1
